set	palette	name	rgb_hex	r	g	b	h	s	l	oklab_luminance
balanced	base	sun+	FFFDFB	255	253	251	30	100	99	0.995
balanced	base	sun	FFF7ED	255	247	237	33	100	96	0.98
balanced	base	sun-	F2E6D4	242	230	212	36	53	89	0.93
balanced	base	sky+	BEBEBE	190	190	190	0	0	74	0.8
balanced	base	sky	8F8F8F	143	143	143	0	0	56	0.65
balanced	base	sky-	636363	99	99	99	0	0	38	0.5
balanced	base	shade+	3E4044	62	64	68	219	4	25	0.37
balanced	base	shade	303338	48	51	56	217	7	20	0.32
balanced	base	shade-	24272B	36	39	43	214	8	15	0.27
balanced	six	red	CB7459	203	116	89	14	52	57	0.65
balanced	six	yellow	A38F2D	163	143	45	49	56	40	0.65
balanced	six	green	46A473	70	164	115	148	40	45	0.65
balanced	six	cyan	00A0BE	0	160	190	189	100	37	0.65
balanced	six	blue	7E87D6	126	135	214	233	51	66	0.65
balanced	six	magenta	BD72A8	189	114	168	316	36	59	0.65
balanced	seven	red	CA7081	202	112	129	348	45	61	0.65
balanced	seven	orange	C27D40	194	125	64	28	51	50	0.65
balanced	seven	yellow	92963A	146	150	58	62	44	40	0.65
balanced	seven	green	3EA57B	62	165	123	155	45	44	0.65
balanced	seven	cyan	00A0BA	0	160	186	188	100	36	0.65
balanced	seven	blue	6E8DD5	110	141	213	221	55	63	0.65
balanced	seven	purple	AC78BD	172	120	189	285	34	60	0.65
balanced	eight	red	CA736C	202	115	108	4	46	60	0.65
balanced	eight	orange	BA823A	186	130	58	33	52	47	0.65
balanced	eight	yellow	8D9741	141	151	65	66	39	42	0.65
balanced	eight	green	47A477	71	164	119	150	39	46	0.65
balanced	eight	cyan	00A2AF	0	162	175	184	100	34	0.65
balanced	eight	blue	5794D0	87	148	208	209	56	57	0.65
balanced	eight	purple	9481CC	148	129	204	255	42	65	0.65
balanced	eight	magenta	BC73A4	188	115	164	319	35	59	0.65
contrast+	base	sun+	FFFDFB	255	253	251	30	100	99	0.995
contrast+	base	sun	FFF7ED	255	247	237	33	100	96	0.98
contrast+	base	sun-	F2E6D4	242	230	212	36	53	89	0.93
contrast+	base	sky+	CECECE	206	206	206	0	0	80	0.85
contrast+	base	sky	9E9E9E	158	158	158	0	0	61	0.7
contrast+	base	sky-	636363	99	99	99	0	0	38	0.5
contrast+	base	shade+	3E4044	62	64	68	219	4	25	0.37
contrast+	base	shade	24272B	36	39	43	214	8	15	0.27
contrast+	base	shade-	181B1F	24	27	31	214	12	10	0.22
contrast+	six	red	E18163	225	129	99	14	67	63	0.7
contrast+	six	yellow	B49E33	180	158	51	49	55	45	0.7
contrast+	six	green	4EB67F	78	182	127	148	41	50	0.7
contrast+	six	cyan	00B0D2	0	176	210	189	100	41	0.7
contrast+	six	blue	8C96EC	140	150	236	233	71	73	0.7
contrast+	six	magenta	D07EBA	208	126	186	316	46	65	0.7
contrast+	seven	red	DF7C8E	223	124	142	349	60	68	0.7
contrast+	seven	orange	D68B47	214	139	71	28	63	55	0.7
contrast+	seven	yellow	A1A641	161	166	65	62	43	45	0.7
contrast+	seven	green	44B689	68	182	137	156	45	49	0.7
contrast+	seven	cyan	00B1CE	0	177	206	188	100	40	0.7
contrast+	seven	blue	7A9BEC	122	155	236	222	75	70	0.7
contrast+	seven	purple	BE85D1	190	133	209	285	45	67	0.7
contrast+	eight	red	DF7F78	223	127	120	4	61	67	0.7
contrast+	eight	orange	CE9042	206	144	66	33	58	53	0.7
contrast+	eight	yellow	9CA748	156	167	72	66	39	46	0.7
contrast+	eight	green	50B584	80	181	132	150	40	51	0.7
contrast+	eight	cyan	00B3C2	0	179	194	184	100	38	0.7
contrast+	eight	blue	61A3E6	97	163	230	210	72	64	0.7
contrast+	eight	purple	A48FE1	164	143	225	255	57	72	0.7
contrast+	eight	magenta	D080B6	208	128	182	319	45	65	0.7
contrast++	base	sun+	FFFDFB	255	253	251	30	100	99	0.995
contrast++	base	sun	FFF7ED	255	247	237	33	100	96	0.98
contrast++	base	sun-	F2E6D4	242	230	212	36	53	89	0.93
contrast++	base	sky+	DEDEDE	222	222	222	0	0	87	0.9
contrast++	base	sky	AEAEAE	174	174	174	0	0	68	0.75
contrast++	base	sky-	636363	99	99	99	0	0	38	0.5
contrast++	base	shade+	3E4044	62	64	68	219	4	25	0.37
contrast++	base	shade	181B1F	24	27	31	214	12	10	0.22
contrast++	base	shade-	0D0F13	13	15	19	219	18	6	0.17
contrast++	six	red	F48E74	244	142	116	12	85	70	0.75
contrast++	six	yellow	C7AD40	199	173	64	48	54	51	0.75
contrast++	six	green	61C68A	97	198	138	144	46	57	0.75
contrast++	six	cyan	1AC2E1	26	194	225	189	79	49	0.75
contrast++	six	blue	97A6FF	151	166	255	231	100	79	0.75
contrast++	six	magenta	E18DCE	225	141	206	313	58	71	0.75
contrast++	seven	red	F18AA1	241	138	161	346	78	74	0.75
contrast++	seven	orange	EA9856	234	152	86	26	77	62	0.75
contrast++	seven	yellow	B4B44A	180	180	74	59	41	49	0.75
contrast++	seven	green	58C792	88	199	146	151	49	56	0.75
contrast++	seven	cyan	16C3DD	22	195	221	187	81	47	0.75
contrast++	seven	blue	83ADFF	131	173	255	219	100	75	0.75
contrast++	seven	purple	CC94E6	204	148	230	280	62	74	0.75
contrast++	eight	red	F58C81	245	140	129	5	85	73	0.75
contrast++	eight	orange	E09F47	224	159	71	34	71	57	0.75
contrast++	eight	yellow	A9B852	169	184	82	68	41	52	0.75
contrast++	eight	green	54C794	84	199	148	153	50	55	0.75
contrast++	eight	cyan	00C4D7	0	196	215	185	100	42	0.75
contrast++	eight	blue	6EB2FD	110	178	253	211	97	71	0.75
contrast++	eight	purple	B69CF6	182	156	246	257	83	78	0.75
contrast++	eight	magenta	E58CC5	229	140	197	321	63	72	0.75
